      Star               S/N  Teff   err  logg  errR  errA [Fe/H] errR  errA  micro errR  errA     ab(C)  errR  errA  [C/Fe]  errR  errA   N N3    ab(Mg)  errR  errA [Mg/Fe]  errR  errA   N N3    ab(Al)  errR  errA [Al/Fe]  errR  errA   N N3    ab(Ca)  errR  errA [Ca/Fe]  errR  errA   N N3    ab(Sc)  errR  errA [Sc/Fe]  errR  errA   N N3    ab(Ti)  errR  errA [Ti/Fe]  errR  errA   N N3     ab(V)  errR  errA  [V/Fe]  errR  errA   N N3    ab(Cr)  errR  errA [Cr/Fe]  errR  errA   N N3    ab(Mn)  errR  errA [Mn/Fe]  errR  errA   N N3    ab(Fe)  errR  errA [Fe/Fe]  errR  errA   N N3    ab(Co)  errR  errA [Co/Fe]  errR  errA   N N3    ab(Ni)  errR  errA [Ni/Fe]  errR  errA   N N3    ab(Zn)  errR  errA [Zn/Fe]  errR  errA   N N3    ab(Sr)  errR  errA [Sr/Fe]  errR  errA   N N3     ab(Y)  errR  errA  [Y/Fe]  errR  errA   N N3    ab(Zr)  errR  errA [Zr/Fe]  errR  errA   N N3    ab(Ba)  errR  errA [Ba/Fe]  errR  errA   N N3    ab(La)  errR  errA [La/Fe]  errR  errA   N N3    ab(Ce)  errR  errA [Ce/Fe]  errR  errA   N N3    ab(Nd)  errR  errA [Nd/Fe]  errR  errA   N N3    ab(Sm)  errR  errA [Sm/Fe]  errR  errA   N N3    ab(Eu)  errR  errA [Eu/Fe]  errR  errA   N N3
        HE2206-2245       45  5100   100  2.45  0.25  0.35 -2.73  0.12  0.18  1.70  0.13  0.23      5.87  0.19  0.26    0.21  0.18  0.27   1  1      5.17  0.11  0.19    0.32  0.15  0.24   7  6      2.82  0.17  0.25   -0.92  0.18  0.27   1  1      3.99  0.12  0.20    0.36  0.15  0.25   9  8      0.58  0.18  0.23    0.14  0.16  0.25   5  3      2.55  0.16  0.21    0.26  0.15  0.24  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.67  0.18  0.25   -0.27  0.17  0.25   3  3      2.11  0.18  0.24   -0.55  0.17  0.24   5  2      4.77  0.12  0.18    0.00  0.14  0.22  55 48      2.38  0.16  0.23    0.20  0.15  0.25   6  6      3.52  0.19  0.28    0.00  0.18  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.19  0.19  0.30   -0.05  0.19  0.29   3  2     -0.70  0.19  0.24   -0.21  0.17  0.26   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.71  0.23  0.28   -0.11  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.61  0.19  0.23    0.62  0.16  0.26   4  1
        HE2216-0621       42  4671   100  1.27  0.27  0.37 -3.23  0.13  0.18  2.02  0.12  0.22      4.50  0.21  0.28   -0.66  0.20  0.30   1  1      4.57  0.12  0.19    0.22  0.15  0.23   7  5      2.40  0.18  0.27   -0.84  0.21  0.30   1  1      3.27  0.12  0.20    0.14  0.15  0.25   9  5      0.05  0.16  0.21    0.11  0.15  0.24   5  4      1.87  0.15  0.20    0.08  0.15  0.23  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.93  0.15  0.22   -0.51  0.15  0.23   3  3      1.61  0.13  0.21   -0.55  0.15  0.24   5  3      4.27  0.13  0.18    0.00  0.14  0.22  55 43      1.94  0.14  0.21    0.24  0.15  0.24   6  5      3.37  0.19  0.30    0.35  0.19  0.30   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.75  0.24  0.34   -0.49  0.22  0.33   3  2     -1.48  0.19  0.24   -0.49  0.17  0.25   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -2.36  0.19  0.23   -1.27  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2216-1548       75  5154   100  1.73  0.24  0.34 -1.70  0.14  0.20  2.69  0.12  0.22      6.31  0.19  0.25   -0.38  0.18  0.27   1  1      6.05  0.11  0.18    0.17  0.15  0.24   7  5      3.88  0.15  0.26   -0.89  0.17  0.26   1  1      4.85  0.13  0.21    0.19  0.15  0.25   9  9      1.41  0.16  0.22   -0.06  0.14  0.23   5  5      3.44  0.16  0.22    0.11  0.14  0.23  17 17      2.17  0.15  0.20   -0.13  0.15  0.23   3  3      3.56  0.18  0.27   -0.41  0.16  0.25   3  2      3.39  0.14  0.19   -0.30  0.15  0.23   5  5      5.80  0.14  0.20    0.00  0.14  0.22  55 52      3.30  0.16  0.23    0.08  0.15  0.24   6  6      4.53  0.20  0.29   -0.02  0.17  0.25   4  4      2.96  0.13  0.20    0.06  0.14  0.25   2  2      1.32  0.16  0.22    0.05  0.15  0.24   3  2      0.40  0.18  0.23   -0.14  0.15  0.24   6  6      1.20  0.18  0.23    0.30  0.14  0.24   3  3      0.72  0.16  0.22    0.29  0.14  0.23   2  2     -0.34  0.18  0.22    0.19  0.14  0.24   6  5      0.03  0.18  0.25    0.15  0.15  0.27  10  5      0.00  0.18  0.23    0.20  0.15  0.24   9  8     -0.29  0.18  0.23    0.40  0.15  0.25   8  3     -0.61  0.18  0.23    0.58  0.15  0.25   4  4
        HE2217-0706       45  4497   100  1.01  0.24  0.34 -2.56  0.12  0.19  2.13  0.12  0.22      5.27  0.21  0.27   -0.55  0.19  0.28   1  1      5.34  0.11  0.18    0.33  0.15  0.24   7  5      3.37  0.17  0.27   -0.52  0.18  0.27   1  1      4.02  0.11  0.20    0.23  0.15  0.25   9  8      0.65  0.17  0.22    0.05  0.15  0.24   5  5      2.54  0.15  0.20    0.09  0.15  0.23  17 17      1.31  0.16  0.20   -0.11  0.16  0.24   3  3      2.53  0.18  0.28   -0.56  0.17  0.25   3  3      2.42  0.15  0.20   -0.39  0.16  0.24   5  5      4.92  0.12  0.19    0.00  0.14  0.22  55 52      2.39  0.16  0.23    0.05  0.15  0.24   6  6      3.71  0.22  0.33    0.03  0.21  0.29   4  4      2.20  0.13  0.20    0.17  0.14  0.26   2  2      0.20  0.18  0.27   -0.20  0.18  0.27   3  1     -0.68  0.18  0.22   -0.34  0.15  0.25   6  6      0.03  0.17  0.22    0.01  0.15  0.25   3  2     -1.01  0.24  0.30   -0.57  0.21  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -1.34  0.19  0.23   -0.26  0.16  0.26   9  2     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -2.21  0.18  0.23   -0.15  0.16  0.26   4  3
        HE2217-1523       48  4847   100  1.82  0.25  0.35 -2.62  0.13  0.19  1.81  0.13  0.23      5.80  0.20  0.26    0.04  0.18  0.27   1  1      5.28  0.10  0.18    0.32  0.16  0.24   7  6      3.19  0.18  0.28   -0.66  0.20  0.29   1  1      4.05  0.11  0.20    0.31  0.15  0.25   9  8      0.65  0.19  0.24    0.11  0.16  0.25   5  5      2.62  0.16  0.22    0.23  0.15  0.23  17 17      1.31  0.16  0.20   -0.07  0.16  0.24   3  1      2.64  0.17  0.27   -0.41  0.17  0.26   3  3      2.33  0.14  0.21   -0.44  0.15  0.23   5  3      4.88  0.13  0.19    0.00  0.14  0.22  55 53      2.40  0.16  0.23    0.10  0.15  0.24   6  6      3.57  0.20  0.31   -0.06  0.19  0.29   4  4      2.26  0.14  0.21    0.29  0.15  0.25   2  1      0.20  0.18  0.28   -0.14  0.18  0.27   3  2     -0.67  0.20  0.24   -0.29  0.16  0.26   6  4      0.06  0.18  0.23    0.09  0.16  0.25   3  1     -1.01  0.23  0.29   -0.52  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2219-0713       55  4789   100  1.68  0.25  0.35 -2.91  0.12  0.18  1.64  0.13  0.23      5.30  0.20  0.27   -0.17  0.19  0.28   1  1      4.91  0.12  0.18    0.25  0.15  0.23   7  7      2.52  0.16  0.25   -1.03  0.17  0.27   1  1      3.62  0.12  0.20    0.17  0.14  0.25   9  8      0.15  0.17  0.22   -0.10  0.16  0.25   5  4      2.15  0.15  0.21    0.05  0.15  0.23  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.43  0.17  0.27   -0.32  0.16  0.26   3  3      1.91  0.14  0.22   -0.56  0.15  0.23   5  3      4.58  0.12  0.18    0.00  0.14  0.22  55 52      2.00  0.16  0.22    0.00  0.15  0.25   6  5      3.23  0.18  0.29   -0.10  0.18  0.27   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.27  0.22  0.34   -0.32  0.21  0.32   3  2     -1.30  0.19  0.23   -0.62  0.17  0.26   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -2.15  0.19  0.23   -1.36  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2221-4150       53  5887   100  4.06  0.24  0.34 -2.03  0.11  0.17  1.41  0.14  0.24      6.59  0.16  0.23    0.23  0.17  0.25   1  1      5.87  0.11  0.17    0.32  0.14  0.23   7  4      3.43  0.14  0.22   -1.01  0.16  0.26   1  1      4.64  0.11  0.20    0.31  0.14  0.24   9  8      1.19  0.17  0.22    0.05  0.17  0.27   5  4      3.24  0.16  0.21    0.25  0.16  0.25  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.48  0.15  0.23   -0.16  0.16  0.25   3  3      2.91  0.15  0.21   -0.45  0.16  0.24   5  3      5.47  0.11  0.17    0.00  0.14  0.22  55 47      2.95  0.15  0.21    0.06  0.15  0.25   6  4      4.06  0.17  0.23   -0.16  0.17  0.25   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.96  0.16  0.25    0.02  0.17  0.27   3  2      0.13  0.18  0.23   -0.08  0.17  0.27   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.19  0.20  0.24    0.09  0.19  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2222-4156       51  5537   100  3.27  0.24  0.34 -2.73  0.12  0.18  1.44  0.14  0.24      6.08  0.17  0.24    0.42  0.17  0.27   1  1      5.28  0.12  0.21    0.42  0.20  0.27   7  2      2.82  0.15  0.23   -0.93  0.16  0.25   1  1      3.99  0.11  0.20    0.35  0.15  0.25   9  7      0.47  0.17  0.23    0.03  0.16  0.25   5  2      2.62  0.16  0.21    0.33  0.15  0.24  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.73  0.16  0.22   -0.21  0.16  0.23   3  3      1.95  0.16  0.21   -0.71  0.16  0.24   5  3      4.77  0.12  0.18    0.00  0.14  0.22  55 38      2.26  0.16  0.22    0.07  0.15  0.25   6  3      3.51  0.18  0.24   -0.02  0.17  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.30  0.21  0.31    0.06  0.19  0.30   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.76  0.19  0.23   -0.16  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2224+0143       88  5198   100  2.66  0.24  0.34 -2.58  0.12  0.18  1.67  0.12  0.22      6.16  0.19  0.25    0.35  0.17  0.26   1  1      5.32  0.11  0.18    0.32  0.15  0.23   7  6      2.90  0.14  0.23   -0.98  0.15  0.25   1  1      4.07  0.13  0.20    0.29  0.14  0.24   9  8      0.72  0.17  0.22    0.13  0.15  0.25   5  5      2.74  0.16  0.21    0.31  0.15  0.23  17 16     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.88  0.16  0.24   -0.21  0.16  0.24   3  3      2.34  0.16  0.22   -0.47  0.15  0.23   5  3      4.92  0.12  0.18    0.00  0.14  0.22  55 54      2.57  0.16  0.22    0.24  0.15  0.24   6  6      3.63  0.17  0.25   -0.04  0.16  0.25   4  4      2.29  0.14  0.21    0.27  0.14  0.25   2  1      0.62  0.15  0.24    0.23  0.15  0.25   3  2     -0.22  0.18  0.23    0.13  0.16  0.25   6  5      0.60  0.18  0.22    0.58  0.15  0.25   3  1      0.13  0.20  0.27    0.59  0.18  0.27   2  1     -0.77  0.18  0.23    0.65  0.15  0.25   6  4     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -0.47  0.18  0.23    0.61  0.16  0.25   9  2     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.02  0.18  0.23    1.05  0.15  0.25   4  4
        HE2224-4103       49  5074   100  2.32  0.25  0.35 -2.64  0.12  0.17  1.75  0.12  0.22      6.02  0.20  0.26    0.23  0.19  0.28   1  1      5.34  0.11  0.19    0.36  0.15  0.24   7  6      3.10  0.16  0.25   -0.77  0.17  0.26   1  1      4.12  0.12  0.20    0.36  0.15  0.25   9  8      0.74  0.18  0.23    0.18  0.17  0.25   5  4      2.68  0.16  0.21    0.27  0.15  0.24  17 15      1.47  0.16  0.20    0.07  0.16  0.24   3  1      2.78  0.17  0.26   -0.29  0.17  0.26   3  3      2.26  0.14  0.22   -0.53  0.15  0.24   5  3      4.90  0.12  0.17    0.00  0.14  0.22  55 52      2.46  0.16  0.22    0.15  0.16  0.25   6  5      3.51  0.19  0.27   -0.13  0.18  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.27  0.18  0.29   -0.10  0.18  0.29   3  2     -0.66  0.19  0.24   -0.29  0.18  0.26   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.04  0.20  0.25   -0.57  0.18  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2226-4102       49  5140   100  2.43  0.26  0.36 -2.87  0.13  0.19  1.73  0.13  0.23      5.98  0.19  0.26    0.46  0.18  0.27   1  1      4.95  0.12  0.18    0.23  0.15  0.24   7  6      2.60  0.16  0.24   -1.01  0.16  0.26   1  1      3.75  0.12  0.20    0.26  0.15  0.25   9  7      0.40  0.18  0.23    0.10  0.16  0.25   5  4      2.33  0.16  0.21    0.17  0.15  0.24  17 11     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.48  0.17  0.24   -0.32  0.16  0.24   3  3      1.98  0.17  0.22   -0.55  0.15  0.23   5  3      4.63  0.13  0.19    0.00  0.14  0.22  55 45      2.30  0.16  0.22    0.25  0.15  0.24   6  6      3.27  0.18  0.24   -0.11  0.16  0.24   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.05  0.22  0.33   -0.06  0.20  0.31   3  2     -0.77  0.19  0.23   -0.15  0.16  0.25   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.74  0.19  0.23   -1.00  0.16  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2227-4044       49  5811   100  3.85  0.25  0.35 -2.32  0.11  0.17  1.40  0.14  0.24      7.75  0.16  0.23    1.67  0.17  0.26   1  1      5.56  0.11  0.18    0.30  0.15  0.23   5  2      3.42  0.14  0.23   -0.73  0.16  0.25   1  1      4.43  0.11  0.21    0.39  0.15  0.25   5  4      1.17  0.18  0.23    0.32  0.17  0.26   3  2      2.94  0.15  0.20    0.24  0.15  0.24  11  8     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      3.33  0.17  0.24   -0.03  0.17  0.25   1  1      2.54  0.16  0.21   -0.54  0.16  0.24   4  2      5.18  0.11  0.17    0.00  0.14  0.22  35 26      2.65  0.16  0.22    0.05  0.16  0.25   4  2      3.79  0.16  0.22   -0.14  0.16  0.23   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   1  0      1.06  0.14  0.24    0.41  0.15  0.25   2  2     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      1.19  0.17  0.21    1.38  0.17  0.24   2  1      0.13  0.18  0.23    1.28  0.17  0.26   3  1     -9.99  0.00  0.00   -9.99  0.00  0.00   7  0     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0
        HE2228-3806       50  5175   100  2.62  0.27  0.37 -3.07  0.13  0.18  1.65  0.14  0.24      5.74  0.19  0.26    0.42  0.18  0.27   1  1      4.84  0.11  0.19    0.33  0.15  0.24   7  4      2.43  0.15  0.22   -0.97  0.16  0.25   1  1      3.64  0.12  0.20    0.35  0.15  0.25   9  7      0.23  0.18  0.23    0.12  0.16  0.25   5  4      2.25  0.16  0.22    0.30  0.15  0.24  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.17  0.16  0.21   -0.43  0.15  0.23   3  3      1.58  0.16  0.21   -0.74  0.15  0.23   5  3      4.43  0.13  0.18    0.00  0.14  0.22  55 40      2.15  0.16  0.22    0.30  0.15  0.24   6  5      3.11  0.18  0.24   -0.07  0.16  0.24   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.29  0.23  0.32   -0.19  0.21  0.31   3  2     -1.03  0.19  0.24   -0.20  0.17  0.26   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.51  0.19  0.24   -0.57  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2229-4153       74  5138   100  2.47  0.24  0.34 -2.62  0.12  0.18  1.79  0.12  0.22      6.17  0.19  0.26    0.37  0.19  0.28   1  1      5.29  0.12  0.18    0.29  0.15  0.23   7  5      3.09  0.14  0.24   -0.79  0.16  0.26   1  1      4.11  0.11  0.20    0.34  0.14  0.25   9  8      0.71  0.18  0.23    0.13  0.16  0.25   5  5      2.65  0.16  0.21    0.22  0.15  0.23  17 14      1.46  0.15  0.20    0.05  0.15  0.24   3  1      2.84  0.16  0.24   -0.25  0.16  0.24   3  3      2.33  0.16  0.22   -0.47  0.16  0.23   5  3      4.91  0.12  0.18    0.00  0.14  0.22  55 53      2.51  0.16  0.22    0.18  0.15  0.25   6  6      3.48  0.17  0.26   -0.19  0.17  0.25   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.47  0.17  0.26    0.09  0.16  0.26   3  2     -0.46  0.18  0.23   -0.12  0.16  0.26   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.74  0.21  0.26   -0.28  0.18  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.63  0.18  0.23    0.45  0.16  0.26   4  1
        HE2231-0622       22  5211   100  2.90  0.27  0.37 -2.12  0.13  0.19  1.50  0.15  0.25      6.19  0.20  0.26   -0.08  0.18  0.26   1  1      5.62  0.12  0.18    0.15  0.15  0.23   7  5      2.96  0.31  0.37   -1.39  0.33  0.39   1  1      4.43  0.11  0.21    0.19  0.15  0.25   9  8      0.91  0.19  0.24   -0.14  0.18  0.28   5  4      3.02  0.15  0.21    0.11  0.17  0.25  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.43  0.20  0.29   -0.12  0.20  0.29   3  3      2.91  0.17  0.21   -0.36  0.17  0.25   5  3      5.38  0.13  0.19    0.00  0.14  0.22  55 43      2.78  0.17  0.23   -0.03  0.17  0.26   6  5      3.53  0.29  0.35   -0.61  0.29  0.35   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.35  0.25  0.33   -0.50  0.25  0.34   3  2     -0.17  0.21  0.26   -0.29  0.20  0.30   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.45  0.30  0.35   -0.46  0.31  0.37   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2234-0521       34  5332   100  3.15  0.25  0.35 -2.78  0.13  0.18  1.39  0.15  0.25      5.97  0.19  0.25    0.36  0.17  0.26   1  1      5.13  0.11  0.19    0.32  0.16  0.25   7  5      2.60  0.17  0.24   -1.09  0.17  0.26   1  1      3.88  0.12  0.20    0.30  0.15  0.25   9  6      0.58  0.18  0.23    0.19  0.16  0.25   5  3      2.54  0.17  0.22    0.30  0.15  0.24  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.50  0.17  0.23   -0.39  0.16  0.24   3  3      1.92  0.17  0.21   -0.69  0.16  0.23   5  3      4.72  0.13  0.18    0.00  0.14  0.22  55 39      2.44  0.16  0.22    0.29  0.15  0.25   6  5      3.56  0.15  0.21    0.09  0.15  0.22   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.11  0.23  0.32   -0.30  0.22  0.31   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.49  0.20  0.24   -0.84  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2238-2152       48  5427   100  3.28  0.25  0.35 -2.40  0.12  0.18  1.46  0.13  0.23      6.12  0.19  0.25    0.13  0.17  0.26   1  1      5.37  0.11  0.18    0.19  0.15  0.23   7  6      2.89  0.16  0.24   -1.18  0.17  0.26   1  1      4.19  0.12  0.20    0.23  0.14  0.25   9  7      0.70  0.18  0.23   -0.07  0.16  0.26   5  4      2.82  0.15  0.20    0.21  0.15  0.24  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.95  0.17  0.24   -0.32  0.16  0.24   3  3      2.41  0.17  0.22   -0.58  0.16  0.24   5  3      5.10  0.12  0.18    0.00  0.14  0.22  55 48      2.60  0.17  0.23    0.08  0.15  0.25   6  5      3.68  0.18  0.25   -0.17  0.17  0.25   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.28  0.20  0.29   -0.29  0.19  0.29   3  2     -0.50  0.17  0.22   -0.34  0.16  0.26   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.64  0.21  0.25   -0.37  0.18  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2240-0412       30  5852   100  4.33  0.29  0.39 -2.20  0.12  0.18  1.30  0.18  0.28      7.54  0.17  0.24    1.35  0.16  0.26   1  1      5.66  0.12  0.18    0.28  0.15  0.24   5  1      3.51  0.19  0.27   -0.76  0.21  0.29   1  1      4.39  0.12  0.21    0.23  0.15  0.25   5  3      1.09  0.19  0.24    0.12  0.19  0.27   3  1      3.06  0.14  0.19    0.25  0.15  0.24  11  8     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      3.31  0.19  0.26   -0.16  0.20  0.27   1  1      2.59  0.17  0.21   -0.60  0.17  0.24   4  2      5.30  0.12  0.18    0.00  0.14  0.22  35 24      2.91  0.16  0.22    0.19  0.16  0.25   4  2      4.04  0.18  0.25   -0.01  0.20  0.27   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   1  0      1.01  0.17  0.24    0.24  0.17  0.26   2  2     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      1.30  0.13  0.19    1.37  0.16  0.23   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   7  0     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0
        HE2242-1930       33  5281   100  2.99  0.26  0.36 -2.21  0.13  0.19  1.81  0.15  0.25      6.27  0.20  0.25    0.09  0.17  0.26   1  1      5.59  0.13  0.19    0.22  0.15  0.23   7  6      3.19  0.22  0.29   -1.07  0.23  0.30   1  1      4.49  0.12  0.20    0.34  0.15  0.25   9  8      0.99  0.18  0.23    0.03  0.17  0.26   5  4      3.05  0.17  0.22    0.24  0.16  0.24  17 14     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.18  0.19  0.27   -0.28  0.18  0.26   3  3      2.89  0.16  0.21   -0.29  0.16  0.24   5  3      5.29  0.13  0.19    0.00  0.14  0.22  55 49      2.95  0.18  0.24    0.24  0.16  0.25   6  5      4.10  0.21  0.30    0.06  0.21  0.29   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.72  0.20  0.28   -0.04  0.20  0.29   3  2     -0.01  0.19  0.24   -0.04  0.17  0.26   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.18  0.24  0.29   -0.10  0.22  0.30   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.15  0.19  0.24    0.56  0.17  0.27   4  1
